source_file,source_table,survey_year,metric,tenure,breakdown_var,breakdown_val,geography,stat_type,quality_measure,quality_value,quality_unit,reliability_flag,reliability_note
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_total,owner_total,lower_income_state,Total owners,NT (d),lower_income,moe_95,0,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_over_30,owner_total,lower_income_state,Total owners,NT (d),lower_income,moe_95,13.2,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,households_000,owner_total,lower_income_state,Total owners,NT (d),lower_income,rse_pct,12.5,per_cent,standard,Relative standard error is below 25%; no high-RSE caution flag is applied.
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,median_weekly_cost,renter_social,lower_income_state,State or territory housing authority,NT (d),lower_income,rse_pct,10,per_cent,standard,Relative standard error is below 25%; no high-RSE caution flag is applied.
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,median_cost_income_ratio,renter_social,lower_income_state,State or territory housing authority,NT (d),lower_income,moe_95,2.5,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_25_or_less,renter_social,lower_income_state,State or territory housing authority,NT (d),lower_income,moe_95,17.7,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_over_50,renter_social,lower_income_state,State or territory housing authority,NT (d),lower_income,moe_95,0,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_total,renter_social,lower_income_state,State or territory housing authority,NT (d),lower_income,moe_95,0,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,households_000,renter_social,lower_income_state,State or territory housing authority,NT (d),lower_income,rse_pct,25.7,per_cent,use_with_caution,Relative standard error is 25% to 50%; ABS advises users to interpret with caution.
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,median_weekly_cost,renter_private,lower_income_state,Private landlord,NT (d),lower_income,rse_pct,6.9,per_cent,standard,Relative standard error is below 25%; no high-RSE caution flag is applied.
